title,seezn,series_on,watcha,wavve,netflix,tving
이상한 변호사 우영우,1,0,0,0,1,0
인사이더,1,1,0,0,1,0
나쁜녀석들: 악의 도시,1,1,0,0,1,0
"60일, 지정생존자",1,1,0,0,1,0
종이의 집: 공동경제구역,0,0,0,0,1,0
라이브,1,1,0,0,1,0
미남당,1,1,0,1,1,0
동백꽃 필 무렵,1,1,0,1,1,0
보좌관,1,1,0,0,1,0
블랙의 신부,0,0,0,0,1,0
연모,0,1,0,1,1,0
우아한 가,1,1,0,1,0,0
사내맞선,1,1,0,1,1,0
더케이투,1,1,0,0,1,0
클리닝 업,1,1,0,0,1,0
슬기로운 감빵생활,1,1,0,0,1,0
아스달 연대기,1,1,0,0,1,0
도깨비,1,1,0,0,1,0
안녕? 나야!,1,1,1,1,1,0
호텔 델루나,1,1,0,0,1,0
최강 배달꾼,0,1,0,1,1,0
힘쎈 여자 도봉순,1,1,0,0,1,0
(아는 건 별로 없지만) 가족입니다,1,1,0,0,1,0
도도솔솔라라솔,1,1,1,1,1,0
봄밤,1,1,1,1,1,0
무법변호사,1,1,0,0,1,0
더 킹: 영원의 군주,0,1,1,1,1,0
달의 연인 - 보보경심 려,1,1,1,1,1,0
내일,1,1,0,1,1,0
배가본드,1,1,1,1,1,0
또! 오해영,1,1,0,0,1,0
블랙독,1,1,0,0,1,0
화양연화 - 삶이 꽃이 되는 순간,1,1,0,0,1,0
블랙,0,1,0,1,0,0
구필수는 없다,1,0,0,0,1,0
라이프,1,1,0,0,1,0
무브 투 헤븐: 나는 유품정리사입니다,0,0,0,0,1,0
김비서가 왜 그럴까,1,1,0,0,1,0
하이에나,1,1,0,1,1,0
18 어게인,1,1,0,0,1,0
그린마더스클럽,0,1,0,0,1,0
부부의 세계,0,1,1,0,1,0
공작도시,0,1,0,0,1,0
사생활,1,1,0,0,0,0
바람과 구름과 비,0,1,1,1,0,0
라켓소년단,1,1,0,1,1,0
괴물,1,1,0,0,1,0
고요의 바다,0,0,0,0,1,0
결혼작사 이혼작곡,0,1,0,0,1,0
"하이바이, 마마!",1,1,0,0,1,0
사이코지만 괜찮아,1,1,0,0,1,0
밥?잘?사주는?예쁜?누나,0,0,0,0,1,0
초콜릿,1,1,0,0,1,0
"선배, 그 립스틱 바르지 마요",1,1,0,0,1,0
불가살,1,1,0,0,0,0
스타트업,1,1,0,0,1,0
눈이 부시게,1,1,0,0,1,0
품위있는 그녀,1,1,0,0,1,0
마음의 소리,0,0,0,0,1,0
도시남녀의 사랑법,0,0,0,0,1,0
너는 나의 봄,1,1,0,0,1,0
우아한 친구들,1,1,0,0,1,0
으라차차 와이키키,1,1,0,0,1,0
별에서 온 그대,1,1,1,1,1,0
안나라수마나라,0,0,0,0,1,0
마인,1,1,0,0,0,0
신입사관 구해령,1,1,0,1,1,0
아름다운 세상,1,1,0,0,0,0
화유기,1,1,0,0,1,0
구경이,1,1,0,0,1,0
"그 겨울, 바람이 분다",0,0,0,1,1,0
루갈,1,1,0,0,1,0
왕이 된 남자,1,1,0,0,0,0
변혁의 사랑,0,1,0,0,1,0
사의 찬미,1,1,0,1,1,0
엽기적인 그녀,1,1,0,1,1,0
월간집,0,1,0,0,1,0
일단 뜨겁게 청소하라,1,1,0,0,1,0
그냥 사랑하는 사이,1,1,0,0,1,0
청춘기록,1,1,0,0,1,0
신데렐라와 네 명의 기사,1,1,0,0,1,0
바벨,1,1,0,1,0,0
아름다웠던 우리에게,0,0,0,0,1,0
알함브라 궁전의 추억,1,1,0,0,1,0
바람이 분다,1,1,0,0,1,0
첫사랑은 처음이라서,0,0,0,0,1,0
마음의소리,0,0,0,0,1,0
경우의 수,1,1,0,0,0,0
오 마이 베이비,1,1,0,0,0,0
으라차차 와이키키2,1,1,0,0,1,0
그녀의 사생활,1,1,0,0,0,0
결혼백서,0,0,0,0,1,0
나빌레라,1,1,0,0,1,0
빙의,1,1,0,0,1,0
보건교사 안은영,0,0,0,0,1,0
내성적인 보스,1,1,0,0,1,0
불야성,0,1,0,1,1,0
너를 닮은 사람,0,1,0,0,1,0
멈추고 싶은 순간,1,1,0,0,0,1
리갈하이,1,1,0,0,1,0
마성의 기쁨,1,1,1,1,1,0
아르곤,1,1,0,0,1,0
봄날은 간다,0,1,1,1,1,0
내일 지구가 망해버렸으면 좋겠어,0,0,0,0,1,0
조선혼담공작소 꽃파당,1,1,0,0,1,0
"우리, 사랑했을까",1,1,0,0,1,0
도시괴담,0,0,0,0,1,0
악몽선생,0,1,1,0,1,0
하트가 빛나는 순간,1,0,0,1,1,0
마이 온리 러브송,0,0,0,0,1,0
애타는 로맨스,0,0,0,1,1,0
수업중입니다,0,1,1,0,1,0
페르소나,0,0,0,0,1,0
넌 내게 반했어,0,1,0,1,1,0
마음의 소리: Reboot,0,0,0,0,1,0
IDOL [아이돌: The Coup],1,1,0,0,1,0
더 미라클,0,1,1,0,1,0
헤어진 다음날,0,0,0,0,1,0
맛있는 영화,0,1,1,1,1,0
마이 런웨이,0,0,0,0,1,0
비정규직 아이돌,0,0,0,1,1,0
YG전자,0,0,0,0,1,0
스파크,0,0,0,0,1,0
미스터 션샤인,1,1,0,0,1,0
킹덤: 아신전,0,0,0,0,1,0
우리들의 블루스,1,1,0,0,1,0
소년심판,0,0,0,0,1,0
그 해 우리는,0,1,0,1,1,0
사랑의 불시착,1,1,0,0,1,0
한사람만,0,1,0,0,1,0
D.P.,0,0,0,0,1,0
나의 해방일지,0,1,0,0,1,0
내 아이디는 강남미인,1,1,0,0,1,0
모범가족,0,0,0,0,1,0
좋아하면 울리는,0,0,0,0,1,0
지금 우리 학교는,0,0,0,0,1,0
오징어 게임,0,0,0,0,1,0
이 구역의 미친 X,0,0,0,0,1,0
인간수업,0,0,0,0,1,0
마이 네임,0,0,0,0,1,0
모범형사2,1,1,0,0,1,1
환혼,0,1,0,0,1,1
조선 정신과의사 유세풍,1,1,0,0,1,1
개미가 타고 있어요,0,0,0,0,1,1
아다마스,1,1,0,0,1,1
술꾼도시여자들,0,0,0,0,1,1
유미의 세포들 시즌2,0,0,0,0,1,1
명천야상견도니,0,1,1,1,1,1
괴이,0,0,0,0,1,1
응답하라 1988,1,1,0,0,1,1
지구에 떨어진 사나이,0,0,0,0,1,1
유미의 세포들,0,0,0,0,1,1
악의 꽃,1,1,0,0,1,1
검색어를 입력하세요 WWW,1,1,0,0,1,1
환혼: 술사 일지,0,0,0,0,1,1
슬기로운 의사생활 시즌2,1,1,0,0,1,1
라이프 온 마스,1,1,0,0,1,1
환혼: 술사들의 이야기,0,0,0,0,1,1
친애적의기군,0,0,1,1,1,1
응답하라 1994,1,1,0,0,1,1
오 나의 귀신님,1,1,0,0,1,1
[무삭제판] 해피니스,0,0,0,0,1,1
어느 날 우리 집 현관으로 멸망이 들어왔다,1,1,0,0,1,1
응답하라 1997,0,1,0,0,1,1
신석연,1,1,0,0,1,1
낮과밤,1,1,0,0,1,1
로맨스가 필요해 2012,1,1,0,0,1,1
구미호뎐,1,1,0,0,1,1
해피니스,1,0,0,0,1,1
하늘에서 내리는 일억개의 별,1,1,0,0,1,1
보이스4,1,1,0,0,1,1
보이스 3,1,1,0,0,1,1
청춘시대 2,1,1,0,0,1,1
롯폰기 클라쓰,0,0,0,0,1,1
마우스,1,1,0,0,1,1
악마판사,1,1,0,0,1,1
별똥별,1,1,0,0,1,1
청춘시대,1,1,0,0,1,1
이가인지명,1,1,0,0,1,1
장미맨션,0,0,0,0,1,1
런 온,1,1,0,0,1,1
내 아이디는  강남미인,1,1,0,0,1,1
이브,1,1,0,0,1,1
날씨가 좋으면 찾아가겠어요,1,1,0,0,1,1
써치,0,1,1,1,1,1
디데이,0,1,0,0,1,1
38 사기동대,1,1,0,0,1,1
WATCHER (왓쳐),1,1,0,0,1,1
전문중적진천천,0,1,1,1,1,1
"러브, 다이닝",1,1,0,0,1,1
힘쎈여자 도봉순,1,1,0,0,1,1
방법,1,1,0,0,1,1
마녀식당으로 오세요,0,0,0,0,1,1
진정령,0,1,1,1,1,1
자백,1,1,0,0,1,1
산후조리원,1,1,0,0,1,1
경여년,1,1,0,0,1,1
스타트렉: 스트레인지 뉴 월드,0,0,0,0,1,1
나의 별에게,0,0,0,0,1,1
비밀의 숲2,1,1,0,0,1,1
또 오해영,1,1,0,0,1,1
특수사건 전담반 TEN,1,1,0,0,1,1
타인은 지옥이다,1,1,0,0,1,1
CSI 라스베가스 시즌3,0,0,0,0,1,1
그래서 나는 안티팬과 결혼했다,0,0,0,0,1,1
번외수사,1,1,0,0,1,1
터널,0,0,0,0,1,1
유리미인살,1,1,1,1,1,1
CSI 뉴욕,0,0,0,0,1,1
특수사건 전담반 TEN 2,1,1,0,0,1,1
링크,1,1,0,0,1,1
보이스 2,0,0,0,0,1,1
간 떨어지는 동거,1,1,0,0,1,1
상견니,1,1,1,1,1,1
"괜찮아, 사랑이야",1,1,0,1,1,1
부요황후,1,1,1,1,1,1
굿와이프,0,0,0,0,1,1
악마가 너의 이름을 부를 때,1,1,0,0,1,1
수영: 라이벌 로맨스,1,1,1,1,1,1
나를 사랑하지 않는 X에게,0,0,0,0,1,1
CSI 라스베가스 시즌2,0,0,0,0,1,1
스타트렉: 디스커버리 시즌4,0,0,0,0,1,1
CSI 마이애미,0,0,0,0,1,1
향밀침침신여상,1,1,0,0,1,1
연애 말고 결혼,0,1,0,0,1,1
신의 퀴즈,1,1,0,0,1,1
고교처세왕,0,1,0,0,1,1
소녀화불기,0,1,0,0,1,1
우월한 하루,1,1,0,0,1,1
메이어 오브 킹스타운,0,0,0,0,1,1
유니콘을 타고,1,1,1,1,1,1
삼생삼세 십리도화,0,1,0,0,1,1
녹비홍수,1,1,0,0,1,1
와이 우먼 킬,0,0,1,0,1,1
옐로우재킷,0,0,0,0,1,1
약정기간애상니,1,1,1,1,1,1
본 대로 말하라,1,1,0,0,1,1
식샤를 합시다,1,1,0,0,1,1
혼술남녀,1,1,0,0,1,1
술꾼도시여자들 뒤풀이,0,0,0,0,1,1
니시아적성지영루 : 나의 영웅에게,0,0,0,0,1,1
쌉니다 천리마마트,1,1,0,0,1,1
아적린거장부대: 내 이웃은 꼬맹이,0,0,0,0,1,1
살인자의 쇼핑목록,1,1,0,0,1,1
NCIS 시즌14,0,0,0,0,1,1
신의 퀴즈 : 리부트,1,1,0,0,1,1
NCIS 시즌18,0,0,0,0,1,1
크리미널마인드,0,0,0,0,1,1
킬잇,1,1,0,0,1,1
NCIS 시즌11,0,0,0,0,1,1
월간 집,0,1,0,0,1,1
여의방비 : 천년의 수호,1,1,1,1,1,1
세계미진리 : 세상의 먼지 속에서,1,1,1,1,1,1
치즈인더트랩,0,1,0,0,1,1
식샤를 합시다 2,0,1,0,0,1,1
NCIS 시즌16,0,0,0,0,1,1
NCIS 시즌12,0,0,0,0,1,1
보좌관 2,1,1,0,0,1,1
NCIS 시즌13,0,0,0,0,1,1
완미선생화차부다소저,1,1,1,1,1,1
신의 퀴즈 2,0,1,0,0,1,1
[무삭제판] 괴물,0,0,0,0,1,1
고품격 짝사랑,1,1,1,1,1,1
막돼먹은 영애씨 시즌14,0,1,0,0,1,1
일견경심 : 첫눈에 반하다,0,1,1,1,1,1
미미일소흔경성,0,1,0,1,1,1
톱스타 유백이,1,1,0,0,1,1
식샤를 합시다 3,1,1,0,0,1,1
나쁜 녀석들 : 악의도시,1,1,0,0,1,1
키마이라,1,1,0,0,1,1
신사의 품격,0,1,0,1,1,1
밀회,0,1,0,0,1,1
와카코와 술,1,1,1,0,0,1
한여름의 추억,0,1,0,0,0,1
장야,0,1,1,1,1,1
도쿄방치식당,1,1,1,1,0,1
르노 911! 시즌6,0,0,0,0,1,1
장군가적소호선,0,1,1,1,0,1
침수화원 : 꿈 속의 정원,1,1,1,1,0,1
와이 우먼 킬 시즌2,0,0,1,0,0,1
고스트 닥터,1,1,0,0,0,1
금의지하,0,1,1,1,0,1
CSI 라스베가스,0,0,0,0,1,1
아적소확행,1,1,1,1,0,1
시카고 타자기,1,1,0,0,0,1
모범형사,1,1,0,0,0,1
슬기로운 의사생활,1,1,0,0,1,1
멜로가 체질,1,1,0,0,1,1
나의 아저씨,1,1,0,0,1,1
갯마을 차차차,1,1,0,0,1,1
빈센조,1,1,0,0,1,1
스물다섯 스물하나,1,1,0,0,1,1
이번 생은 처음이라,1,1,0,0,1,1
비밀의 숲,1,1,0,0,1,1
이태원 클라쓰,1,1,0,0,1,1
시그널,1,1,0,1,0,1
뷰티 인사이드,1,1,0,0,1,1
보이스,0,1,1,1,0,1
"알고있지만,",0,1,0,0,1,1
경이로운 소문,1,1,0,0,1,1
미생,1,1,0,0,1,1
로맨스는 별책부록,1,1,0,0,1,1
백일의 낭군님,1,1,0,0,1,1
"서른, 아홉",1,1,0,0,1,1
아는 와이프,0,0,0,0,1,1
기상청 사람들: 사내연애 잔혹사 편,1,1,0,0,1,1
명불허전,0,0,0,0,1,1
디어 마이 프렌즈,1,1,0,0,1,1
SKY 캐슬,1,1,0,0,1,1
어비스,1,1,0,0,1,1
손 the guest,1,1,0,0,1,1
열여덟의 순간,1,1,0,0,1,1
남자친구,1,1,0,0,1,1
